Loading: input/day1/input.txt

41: four9one
83: bbzhsmnmtf8kftwosevenxfkssgrcjthree
62: 6pkkcddsixsixjgnjvdtjtwo
42: 4four45seven7nine7two
64: rcssix4
56: thfjtb56c
34: kkdhmmvvmthreezxqzqmb4khprbldcr
65: 65bnhfgcgfxgqflblvjdhhtvzpfoureightfive
88: 8eightvdj
65: h61gjgfhrgndb725
75: 7rzm2five
96: 9167ddtxjpxb6
44: 4nine36knlfjmdgfourdmczsxv
29: ljnff279
91: nineeightsixzsfiveseven1jqnxbhhd
24: jptwoeight6fourfrbpgsmkgl
88: znfqfjcspf8md
67: sixthree7qzj
32: 39cfncbzj48two2
56: 52eight9fivefivesix
29: 26nine
29: fsgpvxpqtk2eightlvb1ninebflbsskdbthztgvcl
27: twoone7ndjxttt
55: bpvbv5nzhsfg
16: onethree1kxcxzmvmkxjmtwosix
21: 2prfceightdvcjnhzt3lmzfdnvxjgsix1
97: ninefivegnsk5cz2sevenblfmtpqcfr
65: sixrninehnfggfbxrjm7five
46: qrlmkxckhfournfbfkgdzfqrztjs116
34: 3cf4kbkclqfourseven4
32: ncqt3523two
56: fivevhbfndcqcbthreemg4six
76: 7sixfb6
69: sixfourmqqgmbxdgznkdbzdszc9
32: 3prcphmzcmt12
49: fourznt9mk
24: twotwotdnbbbczxv8four
16: 12fnqfsevensix
76: seven96
65: 6three6s5
64: sixtqqszg6fourzbjhkvlkmnkdztq
23: two3bqnbxbvhspk
79: flcqsevenlgvtnvnctpfjvrlg65dkdbjn9
31: threexnddmsxfmtwo31
48: four498
85: eight5one43nmkxdseight5
16: 1knmbd6
89: 8mxvjtthreelcfbhqfxjdvcpfiveonenine
61: 641ppmssronechd
48: jzhhftmnnpgqcxjffourfnpssgmg6seveneightkvhnnmzv
55: 5nddhls
71: fsc7kv41
94: pqkmmdb96dcvrbtmtnfour4mcthkfvrf
14: fbnndk1twosix4
71: sevennine7eightpmlxqprzvjone
44: lfftbhbtctplbpgn4
33: 31fivemlnrxfh6one3
52: 5fmrtkgj92pdvcgtxj
67: 6pjfz9twofive1bfdseven
25: twotjrtlzflrhlgmmjssbcdtpkm3six5
44: four69kdmtz3sixfive4
21: twofrxqnljztltzvzzsp1575one
82: mhsrfclpqeightfive3grklzhlklxoneonetwo
36: 3eightmjvfpstx64six
54: 5fourmrmcn
91: ninelnqjlb1csjdnf
97: fmklqlxrh9vsbhpmbrd7621seven
22: twosevenone3six4tdltwo
94: 9sevenfour
28: two6sevennine27three78
69: mtjfmrjdcmsix9
73: mpxksevenj4nrmjgc3
49: xllmc4ld9
99: jdrtnineeightthreexxklsbmseveneight9
38: xmkfpfjhlpdbthreenfmcphvtjpseven28
99: 9fivenine
33: vqzlbthreezgjsp3kqlhsxjhmbztgn
57: pnm564v8seven
26: fltwone3twocdzlqmbqc7pjtxnine16
51: gjcfsftcfivesix141
64: cgxnbhk66eighttwofour
12: x1km2
23: ldsxsvpnncxtwonine84sixrrrmvthree
66: mzrrlrjtqsixdgccvbxnpnspbccmhk6n
79: 7t8fiverntkppnine
88: 8dkbgh8
72: 73twodvndkl
86: 8nnhbbrlh83ttxctrqd6
55: 5ninefive
85: eightnine496sdqcxrfms5pksrpq
62: 6two6threeeightwott
24: 2184threethree3four
34: 3fourninefourjjtqrng
17: qhbjcm1seven
15: djpjfcjjkpcl15sixone85
27: stptwoprjsix5sixseven
89: qpxbvxxnbeightsix9
74: sevenktjmbtwo4
43: vbpz46two3
86: 8five3foursix
47: 47ztcbvfhrgnineseveneight67
91: nineptnqrcjggnfour1
12: 16six38mrglvdmpnine2
92: 992fourtwo
36: zftdjcmh3fivembvs6eightthreesix6
56: 5gnlpfdqtlsccmtzbchjqbjjjsevensix
52: fiveseventhree4two
25: pkkrfhtwoztblseventjvqpg15
22: s2
95: 98652cksvxdsbone5
64: 6dsnhqmkxmgrpp7nineeight4mnn
87: eightscjzjbzxrgxnldqlgqmdb7xnbxlnsevendcpvvf
35: threesthreefgkrtkvdl55chnmjbddlhddh
17: kdxgccsdrhone19947kbfvkqgccbkl
93: ninenlqcxpzdsf36three
42: 422xpmfxjqrb
56: 5796
51: 521seven9fourl1
84: 82four
85: ghnqeight75ninefive
22: twohqcrnd9two
33: prblcqjxmm3fouronevbrgslrxchgfvrxcd3
89: 8onesix9rmszglspgjthcntmmlqk
25: ffjqtrjtdftwosix5zc5six5
48: fourthree4ks8
66: 6mblzskfhgcfn
54: fkp524
62: gsix849jhtwo
