Loading: input/day4/input.txt
row: 1; card_count: 1; match_count: 10
row: 2; card_count: 2; match_count: 10
row: 3; card_count: 4; match_count: 10
row: 4; card_count: 8; match_count: 10
row: 5; card_count: 16; match_count: 5
row: 6; card_count: 32; match_count: 1
row: 7; card_count: 64; match_count: 2
row: 8; card_count: 96; match_count: 10
row: 9; card_count: 192; match_count: 10
row: 10; card_count: 320; match_count: 6
row: 11; card_count: 624; match_count: 10
row: 12; card_count: 1247; match_count: 3
row: 13; card_count: 2492; match_count: 6
row: 14; card_count: 4980; match_count: 6
row: 15; card_count: 9952; match_count: 9
row: 16; card_count: 18657; match_count: 0
row: 17; card_count: 18337; match_count: 3
row: 18; card_count: 36674; match_count: 0
row: 19; card_count: 36578; match_count: 5
row: 20; card_count: 70472; match_count: 1
row: 21; card_count: 117627; match_count: 2
row: 22; card_count: 164158; match_count: 0
row: 23; card_count: 164158; match_count: 0
row: 24; card_count: 46531; match_count: 0
row: 25; card_count: 1; match_count: 10
row: 26; card_count: 2; match_count: 10
row: 27; card_count: 4; match_count: 10
row: 28; card_count: 8; match_count: 4
row: 29; card_count: 16; match_count: 0
row: 30; card_count: 16; match_count: 10
row: 31; card_count: 32; match_count: 6
row: 32; card_count: 64; match_count: 1
row: 33; card_count: 120; match_count: 4
row: 34; card_count: 176; match_count: 10
row: 35; card_count: 352; match_count: 8
row: 36; card_count: 703; match_count: 10
row: 37; card_count: 1404; match_count: 4
row: 38; card_count: 2652; match_count: 0
row: 39; card_count: 2652; match_count: 6
row: 40; card_count: 5304; match_count: 1
row: 41; card_count: 10592; match_count: 0
row: 42; card_count: 3884; match_count: 4
row: 43; card_count: 7768; match_count: 0
row: 44; card_count: 7416; match_count: 0
row: 45; card_count: 7240; match_count: 1
row: 46; card_count: 11828; match_count: 0
row: 47; card_count: 1; match_count: 10
row: 48; card_count: 2; match_count: 10
row: 49; card_count: 4; match_count: 10
row: 50; card_count: 8; match_count: 5
row: 51; card_count: 16; match_count: 10
row: 52; card_count: 32; match_count: 2
row: 53; card_count: 64; match_count: 10
row: 54; card_count: 128; match_count: 8
row: 55; card_count: 224; match_count: 10
row: 56; card_count: 440; match_count: 7
row: 57; card_count: 880; match_count: 7
row: 58; card_count: 1759; match_count: 0
row: 59; card_count: 1757; match_count: 1
row: 60; card_count: 3510; match_count: 3
row: 61; card_count: 5263; match_count: 2
row: 62; card_count: 10510; match_count: 3
row: 63; card_count: 20892; match_count: 1
row: 64; card_count: 32507; match_count: 1
row: 65; card_count: 43242; match_count: 0
row: 66; card_count: 1; match_count: 10
row: 67; card_count: 2; match_count: 10
row: 68; card_count: 4; match_count: 10
row: 69; card_count: 8; match_count: 8
row: 70; card_count: 16; match_count: 10
row: 71; card_count: 32; match_count: 10
row: 72; card_count: 64; match_count: 10
row: 73; card_count: 128; match_count: 0
row: 74; card_count: 128; match_count: 10
row: 75; card_count: 256; match_count: 0
row: 76; card_count: 256; match_count: 4
row: 77; card_count: 511; match_count: 0
row: 78; card_count: 501; match_count: 10
row: 79; card_count: 998; match_count: 4
row: 80; card_count: 1996; match_count: 6
row: 81; card_count: 3720; match_count: 7
row: 82; card_count: 7408; match_count: 3
row: 83; card_count: 14752; match_count: 1
row: 84; card_count: 28506; match_count: 1
row: 85; card_count: 42132; match_count: 0
row: 86; card_count: 6218; match_count: 2
row: 87; card_count: 10440; match_count: 0
row: 88; card_count: 10440; match_count: 0
row: 89; card_count: 1; match_count: 0
row: 90; card_count: 1; match_count: 0
row: 91; card_count: 1; match_count: 0
row: 92; card_count: 1; match_count: 1
row: 93; card_count: 2; match_count: 10
row: 94; card_count: 3; match_count: 10
row: 95; card_count: 6; match_count: 10
row: 96; card_count: 12; match_count: 10
row: 97; card_count: 24; match_count: 3
row: 98; card_count: 48; match_count: 2
row: 99; card_count: 96; match_count: 10
row: 100; card_count: 192; match_count: 6
row: 101; card_count: 312; match_count: 6
row: 102; card_count: 624; match_count: 5
row: 103; card_count: 1248; match_count: 2
row: 104; card_count: 2494; match_count: 3
row: 105; card_count: 4985; match_count: 0
row: 106; card_count: 3731; match_count: 1
row: 107; card_count: 7258; match_count: 1
row: 108; card_count: 7355; match_count: 2
row: 109; card_count: 7452; match_count: 1
row: 110; card_count: 14808; match_count: 0
row: 111; card_count: 1; match_count: 10
row: 112; card_count: 2; match_count: 7
row: 113; card_count: 4; match_count: 3
row: 114; card_count: 8; match_count: 3
row: 115; card_count: 16; match_count: 10
row: 116; card_count: 32; match_count: 10
row: 117; card_count: 60; match_count: 10
row: 118; card_count: 112; match_count: 2
row: 119; card_count: 224; match_count: 1
row: 120; card_count: 446; match_count: 1
row: 121; card_count: 556; match_count: 1
row: 122; card_count: 665; match_count: 6
row: 123; card_count: 774; match_count: 3
row: 124; card_count: 1548; match_count: 8
row: 125; card_count: 3096; match_count: 5
row: 126; card_count: 6176; match_count: 5
row: 127; card_count: 11546; match_count: 5
row: 128; card_count: 23032; match_count: 0
row: 129; card_count: 22367; match_count: 1
row: 130; card_count: 44734; match_count: 0
row: 131; card_count: 19271; match_count: 1
row: 132; card_count: 32366; match_count: 0
row: 133; card_count: 1; match_count: 1
row: 134; card_count: 2; match_count: 10
row: 135; card_count: 3; match_count: 10
row: 136; card_count: 6; match_count: 0
row: 137; card_count: 6; match_count: 8
row: 138; card_count: 12; match_count: 10
row: 139; card_count: 24; match_count: 10
row: 140; card_count: 48; match_count: 10
row: 141; card_count: 96; match_count: 0
row: 142; card_count: 96; match_count: 4
row: 143; card_count: 192; match_count: 10
row: 144; card_count: 384; match_count: 3
row: 145; card_count: 766; match_count: 8
row: 146; card_count: 1523; match_count: 7
row: 147; card_count: 2950; match_count: 9
row: 148; card_count: 5516; match_count: 4
row: 149; card_count: 11020; match_count: 7
row: 150; card_count: 22016; match_count: 4
row: 151; card_count: 43984; match_count: 5
row: 152; card_count: 87968; match_count: 2
row: 153; card_count: 170420; match_count: 1
row: 154; card_count: 338359; match_count: 0
row: 155; card_count: 57955; match_count: 0
row: 156; card_count: 57955; match_count: 0
row: 157; card_count: 1; match_count: 5
row: 158; card_count: 2; match_count: 10
row: 159; card_count: 4; match_count: 0
row: 160; card_count: 4; match_count: 10
row: 161; card_count: 8; match_count: 10
row: 162; card_count: 16; match_count: 10
row: 163; card_count: 31; match_count: 10
row: 164; card_count: 62; match_count: 10
row: 165; card_count: 124; match_count: 10
row: 166; card_count: 248; match_count: 6
row: 167; card_count: 496; match_count: 2
row: 168; card_count: 992; match_count: 4
row: 169; card_count: 1982; match_count: 0
row: 170; card_count: 1486; match_count: 8
row: 171; card_count: 2968; match_count: 9
row: 172; card_count: 5928; match_count: 3
row: 173; card_count: 10600; match_count: 8
row: 174; card_count: 21169; match_count: 0
row: 175; card_count: 21107; match_count: 4
row: 176; card_count: 36162; match_count: 3
row: 177; card_count: 72324; match_count: 2
row: 178; card_count: 144648; match_count: 2
row: 179; card_count: 287810; match_count: 0
row: 180; card_count: 158217; match_count: 1
row: 181; card_count: 168818; match_count: 0
row: 182; card_count: 1; match_count: 1
row: 183; card_count: 2; match_count: 10
row: 184; card_count: 3; match_count: 7
row: 185; card_count: 6; match_count: 10
row: 186; card_count: 12; match_count: 3
row: 187; card_count: 24; match_count: 10
row: 188; card_count: 48; match_count: 7
row: 189; card_count: 96; match_count: 8
row: 190; card_count: 180; match_count: 1
row: 191; card_count: 360; match_count: 5
row: 192; card_count: 537; match_count: 5
row: 193; card_count: 1074; match_count: 6
row: 194; card_count: 2146; match_count: 7
row: 195; card_count: 4292; match_count: 9
row: 196; card_count: 8530; match_count: 4
row: 197; card_count: 16700; match_count: 3
row: 198; card_count: 32743; match_count: 2
row: 199; card_count: 65486; match_count: 5
row: 200; card_count: 129898; match_count: 4
row: 201; card_count: 201823; match_count: 3
row: 202; card_count: 401500; match_count: 0
row: 203; card_count: 401500; match_count: 1
row: 204; card_count: 803000; match_count: 0
row: 205; card_count: 1; match_count: 0
row: 206; card_count: 1; match_count: 2
row: 207; card_count: 2; match_count: 10
row: 208; card_count: 4; match_count: 10
row: 209; card_count: 7; match_count: 9
row: 210; card_count: 14; match_count: 10
row: 211; card_count: 28; match_count: 1
row: 212; card_count: 56; match_count: 6
row: 213; card_count: 84; match_count: 0
row: 214; card_count: 84; match_count: 2
row: 215; card_count: 168; match_count: 4
